custom_year,custom_month,custom_day,custom_date,custom_user_id,custom_produit_id,custom_event_name,sales,quantity
year1,month1,day3,date3,user49,produit1,event_name1,,
year1,month1,day5,date5,user849,produit1,event_name1,,
year1,month1,day1,date1,user2985,produit1,event_name1,,
year1,month1,day2,date2,user4630,produit1,event_name1,,
year1,month1,day4,date4,user7535,produit1,event_name1,,
year1,month1,day5,date5,user8311,produit1,event_name1,,
year1,month1,day5,date5,user6,produit2,event_name1,,
year1,month1,day4,date4,user36,produit2,event_name1,,
year1,month1,day4,date4,user36,produit2,event_name1,,
year1,month1,day2,date2,user40,produit2,event_name1,,
year1,month1,day2,date2,user41,produit2,event_name1,,
year1,month1,day3,date3,user41,produit2,event_name1,,
year1,month1,day4,date4,user42,produit2,event_name1,,
year1,month1,day4,date4,user42,produit2,event_name1,,
year1,month1,day4,date4,user46,produit2,event_name1,,
year1,month1,day7,date7,user50,produit2,event_name1,,
year1,month1,day6,date6,user60,produit2,event_name1,,
year1,month1,day3,date3,user65,produit2,event_name1,,
year1,month1,day6,date6,user74,produit2,event_name1,,
year1,month1,day4,date4,user79,produit2,event_name1,,
year1,month1,day4,date4,user79,produit2,event_name1,,
year1,month1,day3,date3,user80,produit2,event_name1,,
year1,month1,day3,date3,user80,produit2,event_name1,,
year1,month1,day8,date8,user89,produit2,event_name1,,
year1,month1,day8,date8,user109,produit2,event_name1,,
year1,month1,day1,date1,user125,produit2,event_name1,,
year1,month1,day6,date6,user128,produit2,event_name1,,
year1,month1,day2,date2,user133,produit2,event_name1,,
year1,month1,day3,date3,user137,produit2,event_name1,,
year1,month1,day7,date7,user138,produit2,event_name1,,
year1,month1,day8,date8,user138,produit2,event_name1,,
year1,month1,day8,date8,user138,produit2,event_name1,,
year1,month1,day4,date4,user142,produit2,event_name1,,
year1,month1,day4,date4,user161,produit2,event_name1,,
year1,month1,day4,date4,user161,produit2,event_name1,,
year1,month1,day4,date4,user163,produit2,event_name1,,
year1,month1,day2,date2,user174,produit2,event_name1,,
year1,month1,day3,date3,user174,produit2,event_name1,,
